id,stemmed
1,"['performa', 'mesin', 'maksimal', 'boros', 'bensin', 'ajar', 'pandu', 'campur', 'etanol', 'bbm', 'dasar', 'studi', 'fakta', 'nyata', 'performamesin', 'bbmetanol', 'efisiensibahanbakar', 'otomotif', 'ecodriving']"
2,"['siram', 'etanol', 'setrum']"
3,"['teknologi', 'inovasi', 'industri', 'bbm', 'pandu', 'lengkap', 'efek', 'campur', 'etanol', 'bensin', 'torsi', 'konsumsi', 'posting', 'otomotifnews', 'bbm', 'etanol', 'performamesin', 'fueleconomy']"
4,"['etanol', 'ganti', 'logam', 'anti', 'karat']"
5,"['cinta', 'bahlil', 'etanol', 'cinta', 'kimia', 'alias', 'organik']"
6,"['anggap', 'hemat', 'bbm', 'ramah', 'lingkung', 'etanol', 'pilih', 'dampak', 'performa', 'mesin', 'konsumsi', 'bensin', 'baca', 'sustainability', 'etanol', 'fuelefficiency', 'performamesin', 'otomotif']"
7,"['fakta', 'milik', 'mobil', 'campur', 'etanol', 'pengaruh', 'tenaga', 'mesin', 'jarak', 'tempuh', 'yuk', 'tahu', 'risiko', 'coba', 'bbmetanol', 'performakendaraan', 'ecodriving', 'mobilindonesia', 'bensin']"
8,"['penasaran', 'bensin', 'etanol', 'efisien', 'cek', 'rangkum', 'lebih', 'kurang', 'artikel', 'etanol', 'bbm', 'performamesin', 'tipsmobil', 'otomotif']"
9,"['data', 'fakta', 'signifikan', 'campur', 'etanol', 'konsumsi', 'bahan', 'bakar', 'jawab', 'blogpost', 'baru', 'dataotomotif', 'etanolcampuran', 'konsumsibbm', 'fuelefficiency', 'carperformance']"
10,"['etanol', 'maen']"
11,"['dik', 'fek', 'bahlil', 'etanol', 'anw', 'gwe', 'kunjung', 'wangsaf', 'iaa', 'wowkwowk', 'tau', 'awak', 'cenayang', 'anw', 'akeewra', 'wkwkwk', 'aduh', 'kayak', 'personal', 'dik', 'dah', 'tau', 'kah', 'inti', 'gimana', 'anw']"
12,"['wey', 'moots', 'vote', 'pencet', 'vote', 'niscaya', 'peri', 'tidur', 'nama', 'bahlil', 'malam', 'dalam', 'mimpi', 'bawa', 'tsunami', 'etanol']"
13,"['etanol', 'ramah', 'lingkung', 'pengaruh', 'konsumsi', 'bahan', 'bakar', 'respons', 'mesin', 'yuk', 'baca', 'fakta', 'mitos', 'nya', 'etanol', 'greenfuel', 'performamesin', 'hematbbm', 'sustainabledriving']"
14,"['campur', 'etanol', 'bensin', 'mobil', 'baca', 'hasil', 'teliti', 'pengaruh', 'tenaga', 'torsi', 'efisiensi', 'bbm', 'autotips', 'bbmetanol', 'performakendaraan', 'bensin', 'otomotif']"
15,"['mesin', 'tenaga', 'boros', 'bensin', 'ajar', 'dosis', 'etanol', 'dampak', 'performa', 'efisiensi', 'bahan', 'bakar']"
16,"['dukung', 'kak', 'met', 'mnginjak', 'kpl', 'bhil', 'etanol']"
17,"['menteri', 'esdm', 'bahlil', 'pasti', 'implementasi', 'etanol', 'jalan']"
18,"['campur', 'etanol', 'tingkat', 'performa', 'mesin', 'hemat', 'konsumsi', 'bbm', 'simak', 'hasil', 'uji', 'analisis', 'lengkap', 'artikel', 'etanol', 'performamesin', 'konsumsibbm', 'otomotifindonesia', 'ecodriving']"
19,"['visi', 'prabowo', 'papua', 'pusat', 'bioenergi', 'nasional', 'fokus', 'produksi', 'biofuel', 'kelapa', 'sawit', 'tebu', 'singkong', 'kurang', 'impor', 'bbm', 'capai', 'mandiri', 'energi', 'banding', 'brasil', 'sukses', 'etanol', 'tebu', 'kurang', 'impor', 'minyak']"
20,"['makasih', 'udah', 'tag', 'roadmap', 'prabowo', 'papua', 'pusat', 'energi', 'nasional', 'fokus', 'energi', 'hijau', 'kembang', 'solar', 'mini', 'hydro', 'geothermal', 'bioenergi', 'sawit', 'biodiesel', 'tebu', 'singkong', 'etanol', 'target', 'swasembada', 'kurang', 'impor', 'bbm', 'hemat', 'triliun', 'potensi']"
21,"['indonesia', 'gencar', 'garap', 'potensi', 'energi', 'hijau', 'papua', 'perintah', 'rencanain', 'papua', 'pusat', 'bioenergi', 'nasional', 'fokus', 'biodiesel', 'kelapa', 'sawit', 'etanol', 'target', 'renewable', 'energy', 'capai', 'investasi', 'jetp', 'miliar']"
22,"['bener', 'upaya', 'perintah', 'bikin', 'papua', 'pusat', 'energi', 'baru', 'gencar', 'mandiri', 'energi', 'fakta', 'rencana', 'fokus', 'bioenergy', 'kelapa', 'sawit', 'tebu', 'singkong', 'etanol', 'biodiesel', 'tuju', 'kurang', 'impor', 'bbm', 'rpt', 'stop', 'impor', 'diesel', 'bensin']"
23,"['bener', 'rencana', 'prabowo', 'papua', 'pusat', 'energi', 'nasional', 'fokus', 'mandiri', 'bioenergi', 'sawit', 'biodiesel', 'tebu', 'singkong', 'etanol', 'ebt', 'surya', 'hidro', 'geothermal', 'target', 'swasembada', 'hemat', 'impor', 'rpt', 'kritik']"
